timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz
1496.0,12728,1.161369,,,151.82443910558214,130.88642042408776
1502.0,12783,1.182697,,,152.3871591176767,134.85404463880099
1507.0,12824,1.160728,,,149.7007540346597,130.0215289589319
1514.0,12885,1.211838,,,151.0515261324005,133.0139756486473
1521.0,12945,1.221888,,,151.92237368259381,132.50195423749014
1530.0,13022,1.208594,,,151.32083733812289,131.21006408394973
1539.0,13099,1.292789,,,151.71610878479547,133.53154755877233
1547.0,13168,1.209624,,,145.64249711554598,120.55391437225457
1554.0,13227,1.202120,,,150.5980573021296,133.0199065137089
1563.0,13306,1.241281,,,147.38501273552743,128.11067122063733
1571.0,13379,1.248686,,,143.0295508454923,124.23845862617571
1577.0,13428,1.203719,,,146.71407275837663,131.01003971930578
1586.0,13508,1.242887,,,148.81786380990027,127.83204710169274
1597.0,13602,1.227975,,,145.69341095726122,126.99054988180714
1602.0,13642,1.168223,,,144.72748875811365,127.53104650632916
1610.0,13709,1.244671,,,146.87906013057778,130.51570120407547
1616.0,13760,1.186977,,,148.40640590220596,121.5407231280789
1623.0,13824,1.215469,,,150.87476244355057,128.2808533806099
1628.0,13863,1.157459,,,144.76650326754498,122.7580573230506
1636.0,13924,0.152910,,,142.61089525484374,119.87633557344503
1642.0,13981,1.175739,,,145.4439873810692,120.98115133277672
1651.0,14056,1.244806,,,144.16868104729238,116.39401291694577
1657.0,14111,1.157477,,,147.32968600608012,128.68664393110384
1665.0,14177,1.178036,,,148.9387292988989,128.99666330977598
1673.0,14249,1.205741,,,150.467001925892,133.4852751750435
1680.0,14308,1.177773,,,154.50227768248578,134.24004789710636
1688.0,14376,1.192991,,,149.0981914290649,127.55207791839237
1699.0,14475,0.226592,,,147.0545204588766,125.33002214413513
1705.0,14523,1.159666,,,153.55276520406693,133.1850894503937
1711.0,14566,1.167180,,,144.01863303713046,129.32505666519506
1720.0,14646,1.249582,,,141.16934112126717,125.2183400864098
1729.0,14728,1.239938,,,146.12148955078328,119.355664650007
1737.0,14802,1.221165,,,155.56574459790403,136.03807129025296
1748.0,14893,1.282047,,,154.41797732138807,135.55221464178865
1756.0,14970,1.233252,,,144.79609582535218,124.75044297343611
1767.0,15067,1.213522,,,142.61216330455883,116.5725886991832
1776.0,15141,1.183094,,,148.49097918554907,131.63683466625145
1783.0,15200,1.190704,,,153.1509980704287,130.68286869619155
1789.0,15255,1.197742,,,146.05315267824176,130.14782137092314
1798.0,15329,0.196066,,,145.48301122518288,124.31473367962381
1806.0,15398,1.219729,,,147.00300656245648,125.7461303821612
1812.0,15445,1.170212,,,148.61819012479688,130.08692564572746
1822.0,15533,1.239729,,,150.13093575733637,130.29783505085356
1830.0,15605,1.194103,,,152.04805434822197,134.13038077004748
1837.0,15662,1.171066,,,141.231201832397,120.38383663850782
1843.0,15710,0.124208,,,149.9230651058442,129.5465511881478
1847.0,15740,1.145612,,,152.95773219571763,132.0462242088737
1852.0,15784,1.169557,,,146.1692342473272,126.32475348028926
1858.0,15830,0.107288,,,144.83662683577472,129.2287441207105
1863.0,15868,1.155654,,,145.74339687341006,128.29471245414027
1870.0,15928,1.194496,,,142.85921499606812,127.27967118820428
1877.0,15989,1.217313,,,143.9964471308529,123.59905110647422
1885.0,16062,1.202631,,,144.38776648813274,121.3390315425882
1894.0,16135,1.215300,,,150.78146947788,130.54326178433155
1903.0,16213,1.209767,,,149.31388232383102,131.09922082231535
1911.0,16282,1.200701,,,143.78168139531445,128.09978748490042
1918.0,16349,1.193859,,,147.955080263261,130.1784058610018
1923.0,16384,1.146738,,,149.52819943977948,130.43575350004488
1933.0,16475,1.251673,,,147.44955078028292,127.54514747414439
1941.0,16548,1.194334,,,145.77736239720736,126.9994346507677
1949.0,16613,0.155748,,,145.98698739822743,122.20735121736249
1955.0,16659,1.168981,,,140.02080916160284,118.00202975328841
1966.0,16758,0.251537,,,148.17275358377609,126.90852012223819
1975.0,16843,1.262237,,,149.1302685019083,131.88959943913247
1983.0,16910,1.245531,,,146.59371058006286,126.6077987671401
1990.0,16966,1.188834,,,149.484217121264,124.80631619899705
1997.0,17029,1.194317,,,145.51851144499796,126.22895883533808
2005.0,17099,1.251621,,,148.49537905718094,131.0393772161055
2013.0,17163,1.167224,,,144.42646502967972,125.77884303584595
2021.0,17238,1.246083,,,152.45813681443278,131.4537826137279
2032.0,17335,1.251699,,,148.7369260244101,126.11580008400624
2039.0,17391,1.199741,,,155.18888990347259,133.83723050587432
2046.0,17446,1.183129,,,150.9350846995938,130.3290777964
2052.0,17503,1.185532,,,150.79479930760695,132.28436418157477
2059.0,17561,1.187892,,,144.21725902388616,124.13194222633034
2065.0,17608,1.148500,,,147.04659372443697,129.52470262826037
2072.0,17670,1.202854,,,146.15366882933475,131.97789397094434
2083.0,17765,1.315692,,,146.22871795715713,125.30412249935611
2090.0,17824,1.181010,,,147.92660961827886,124.76295973150832
2097.0,17889,1.192737,,,147.04748856328496,124.57934227991943
2105.0,17955,0.158638,,,152.83431586018565,136.2868418198718
2111.0,18004,1.161714,,,149.3029212664016,128.3286329927049
2121.0,18095,1.257997,,,155.23374379862273,138.12482838160577
2130.0,18167,0.159670,,,147.58945888151771,131.3745372346461
2136.0,18216,1.171537,,,140.5385803801824,118.42984667123008
2143.0,18283,1.208587,,,154.40144668252313,136.05305938552638
2154.0,18382,0.248667,,,145.47015182400494,126.1214562230682
2162.0,18446,0.129921,,,140.78950690149446,120.66754055823198
2173.0,18545,1.238545,,,145.3439422652505,122.05863408661986
2181.0,18608,1.200392,,,150.2348231101222,130.5997516766925
2184.0,18630,0.039822,,,152.08681463739467,132.1851659260705
2188.0,18664,1.133458,,,142.40285680269128,109.22012602862134
2196.0,18730,1.204865,,,150.1745283993159,130.06038963857816
2201.0,18773,1.180085,,,148.1977582737231,131.73439048600028
2206.0,18813,1.158687,,,138.0449763300993,114.53432314017051
2216.0,18905,1.270283,,,145.2654222762933,115.60059642240246
2225.0,18982,1.212748,,,150.3006674082957,131.34532551466043
2232.0,19034,1.167552,,,141.90401297611498,117.83991840465838
2239.0,19095,1.161905,,,146.65997486818847,125.37526383343857
